iter	Passed	Remaining
426	1564	2099
427	1567	2094
428	1570	2089
429	1573	2085
430	1575	2080
431	1578	2075
432	1581	2071
433	1584	2066
434	1587	2061
435	1589	2056
436	1592	2051
437	1595	2046
438	1598	2042
439	1600	2037
440	1603	2032
441	1606	2027
442	1609	2023
443	1612	2018
444	1615	2014
445	1618	2010
446	1621	2006
447	1625	2002
448	1628	1998
449	1632	1995
450	1636	1991
451	1639	1988
452	1643	1984
453	1646	1980
454	1650	1977
455	1654	1973
456	1658	1970
457	1661	1966
458	1665	1962
459	1668	1958
460	1672	1955
461	1676	1951
462	1679	1948
463	1683	1944
464	1687	1941
465	1690	1937
466	1694	1934
467	1698	1930
468	1701	1926
469	1704	1922
470	1707	1918
471	1710	1913
472	1713	1909
473	1716	1904
474	1719	1900
475	1721	1895
476	1723	1889
477	1726	1885
478	1728	1879
479	1730	1874
480	1733	1869
481	1735	1864
482	1737	1860
483	1740	1855
484	1742	1850
485	1744	1845
486	1746	1839
487	1749	1835
488	1751	1830
489	1753	1825
490	1756	1820
491	1758	1815
492	1760	1810
493	1762	1805
494	1765	1800
495	1767	1796
496	1769	1791
497	1772	1786
498	1775	1782
499	1777	1777
500	1780	1772
501	1782	1768
502	1784	1763
503	1787	1758
504	1789	1754
505	1791	1749
506	1794	1744
507	1796	1739
508	1799	1735
509	1801	1730
510	1804	1726
511	1806	1721
512	1808	1717
513	1811	1712
514	1813	1707
515	1815	1703
516	1818	1698
517	1820	1694
518	1823	1689
519	1825	1685
520	1828	1680
521	1830	1676
522	1832	1671
523	1835	1667
524	1838	1663
525	1840	1658
526	1843	1654
527	1845	1649
528	1847	1644
529	1849	1640
530	1851	1635
531	1854	1631
532	1857	1627
533	1859	1622
534	1861	1617
535	1863	1613
536	1867	1609
537	1870	1606
538	1873	1602
539	1877	1599
540	1880	1595
541	1883	1591
542	1887	1588
543	1891	1585
544	1894	1581
545	1898	1578
546	1901	1574
547	1903	1570
548	1906	1566
549	1909	1562
550	1911	1557
551	1914	1553
552	1916	1549
553	1919	1545
554	1922	1541
555	1925	1537
556	1928	1533
557	1931	1530
558	1934	1526
559	1937	1522
560	1940	1518
561	1942	1514
562	1945	1510
563	1948	1506
564	1952	1502
565	1955	1499
566	1958	1495
567	1961	1492
568	1964	1488
569	1968	1484
570	1971	1481
571	1974	1477
572	1977	1473
573	1980	1470
574	1983	1466
575	1987	1462
576	1990	1459
577	1994	1455
578	1997	1452
579	2000	1448
580	2002	1444
581	2005	1440
582	2009	1437
583	2012	1433
584	2015	1429
585	2017	1425
586	2020	1421
587	2023	1417
588	2026	1414
589	2030	1411
590	2034	1407
591	2037	1404
592	2041	1400
593	2044	1397
594	2048	1394
595	2051	1390
596	2054	1386
597	2058	1383
598	2061	1380
599	2065	1376
600	2068	1373
601	2072	1369
602	2075	1366
603	2078	1362
604	2085	1361
605	2095	1362
606	2100	1359
607	2107	1358
608	2110	1355
609	2114	1351
610	2118	1348
611	2121	1344
612	2124	1341
613	2128	1337
614	2130	1333
615	2133	1329
616	2136	1325
617	2138	1321
618	2140	1317
619	2142	1313
620	2145	1309
621	2149	1305
622	2152	1302
623	2154	1298
624	2157	1294
625	2160	1290
626	2163	1286
627	2165	1283
628	2168	1279
629	2171	1275
630	2174	1271
631	2177	1267
632	2179	1263
633	2182	1259
634	2185	1256
635	2187	1252
636	2190	1248
637	2193	1244
638	2196	1240
639	2199	1237
640	2202	1233
641	2204	1229
642	2207	1225
643	2210	1221
644	2213	1218
645	2215	1214
646	2218	1210
647	2221	1206
648	2224	1203
649	2227	1199
650	2230	1195
651	2232	1191
652	2235	1188
653	2238	1184
654	2240	1180
655	2243	1176
656	2246	1172
657	2249	1169
658	2251	1165
659	2254	1161
660	2257	1157
661	2260	1154
662	2263	1150
663	2266	1146
664	2269	1143
665	2272	1139
666	2275	1136
667	2279	1132
668	2282	1129
669	2285	1125
670	2288	1121
671	2291	1118
672	2293	1114
673	2296	1110
674	2298	1106
675	2302	1103
676	2304	1099
677	2307	1095
678	2310	1092
679	2313	1088
680	2316	1085
681	2319	1081
682	2322	1078
683	2326	1074
684	2329	1071
685	2332	1067
686	2335	1064
687	2339	1060
688	2342	1057
689	2345	1053
690	2349	1050
691	2352	1047
692	2355	1043
693	2358	1040
694	2362	1036
695	2365	1033
696	2368	1029
697	2372	1026
698	2375	1022
699	2378	1019
700	2381	1015
701	2385	1012
702	2388	1009
703	2391	1005
704	2395	1002
705	2398	998
706	2401	995
707	2405	992
708	2408	988
709	2411	985
710	2415	981
711	2419	978
712	2423	975
713	2427	972
714	2430	968
715	2434	965
716	2438	962
717	2441	959
718	2445	955
719	2448	952
720	2452	949
721	2456	945
722	2460	942
723	2463	939
724	2467	935
725	2471	932
726	2475	929
727	2478	925
728	2481	922
729	2485	919
730	2489	916
731	2492	912
732	2496	909
733	2500	906
734	2504	902
735	2507	899
736	2511	896
737	2514	892
738	2517	889
739	2521	885
740	2524	882
741	2528	879
742	2532	875
743	2536	872
744	2540	869
745	2543	865
746	2547	862
747	2551	859
748	2555	856
749	2558	852
750	2562	849
751	2566	846
752	2569	842
753	2573	839
754	2577	836
755	2581	833
756	2584	829
757	2588	826
758	2591	822
759	2595	819
760	2598	816
761	2601	812
762	2605	809
763	2608	805
764	2612	802
765	2615	799
766	2619	795
767	2622	792
768	2626	788
769	2629	785
770	2633	782
771	2637	778
772	2641	775
773	2645	772
774	2649	769
775	2652	765
776	2656	762
777	2659	758
778	2662	755
779	2665	751
780	2669	748
781	2672	744
782	2675	741
783	2678	737
784	2681	734
785	2685	731
786	2688	727
787	2691	724
788	2694	720
789	2697	717
790	2700	713
791	2703	710
792	2707	706
793	2710	703
794	2713	699
795	2716	696
796	2719	692
797	2723	689
798	2726	685
799	2729	682
800	2733	679
801	2736	675
802	2740	672
803	2744	668
804	2747	665
805	2751	662
806	2755	659
807	2759	655
808	2763	652
809	2767	649
810	2771	645
811	2774	642
812	2778	639
813	2782	635
814	2785	632
815	2788	628
816	2792	625
817	2795	621
818	2798	618
819	2801	615
820	2804	611
821	2808	608
822	2811	604
823	2814	601
824	2818	597
825	2821	594
826	2825	591
827	2829	587
828	2833	584
829	2837	581
830	2841	577
831	2845	574
832	2850	571
833	2853	567
834	2856	564
835	2860	561
836	2863	557
837	2867	554
838	2871	550
839	2874	547
840	2877	544
841	2881	540
842	2884	537
843	2888	533
844	2891	530
845	2895	527
846	2899	523
847	2902	520
848	2906	516
849	2910	513
850	2914	510
851	2918	506
852	2922	503
853	2925	500
854	2929	496
855	2932	493
856	2936	489
857	2940	486
858	2943	483
859	2946	479
860	2950	476
861	2953	472
862	2957	469
863	2961	466
864	2964	462
865	2968	459
866	2971	455
867	2974	452
868	2977	448
869	2981	445
870	2985	442
871	2989	438
872	2992	435
873	2996	432
874	2999	428
875	3003	425
876	3006	421
877	3010	418
878	3013	414
879	3016	411
880	3019	407
881	3023	404
882	3026	401
883	3030	397
884	3033	394
885	3037	390
886	3040	387
887	3044	383
888	3047	380
889	3050	377
890	3054	373
891	3057	370
892	3061	366
893	3064	363
894	3067	359
895	3071	356
896	3075	353
897	3078	349
898	3081	346
899	3084	342
900	3089	339
901	3092	336
902	3096	332
903	3099	329
904	3102	325
905	3106	322
906	3109	318
907	3112	315
908	3116	312
909	3119	308
910	3123	305
911	3127	301
912	3131	298
913	3134	294
914	3138	291
915	3142	288
916	3146	284
917	3149	281
918	3154	277
919	3157	274
920	3160	271
921	3163	267
922	3167	264
923	3170	260
924	3174	257
925	3177	253
926	3180	250
927	3184	247
928	3187	243
929	3190	240
930	3193	236
931	3196	233
932	3200	229
933	3203	226
934	3206	222
935	3210	219
936	3213	216
937	3216	212
938	3220	209
939	3223	205
940	3226	202
941	3230	198
942	3233	195
943	3237	192
944	3240	188
945	3243	185
946	3247	181
947	3251	178
948	3254	174
949	3258	171
950	3262	168
951	3265	164
952	3269	161
953	3272	157
954	3275	154
955	3278	150
956	3282	147
957	3286	144
958	3289	140
959	3294	137
960	3297	133
961	3301	130
962	3305	126
963	3308	123
964	3312	120
965	3315	116
966	3318	113
967	3322	109
968	3325	106
969	3329	102
970	3332	99
971	3335	96
972	3339	92
973	3343	89
974	3346	85
975	3349	82
976	3353	78
977	3356	75
978	3360	72
979	3363	68
980	3366	65
981	3370	61
982	3373	58
983	3377	54
984	3380	51
985	3383	48
986	3387	44
987	3390	41
988	3393	37
989	3397	34
990	3400	30
991	3404	27
992	3407	24
993	3410	20
994	3413	17
995	3417	13
996	3421	10
997	3424	6
998	3428	3
999	3431	0
