iter	Logloss
0	0.6559949002
1	0.6259529813
2	0.6034426558
3	0.5806300808
4	0.5645983015
5	0.5472905488
6	0.5359441345
7	0.5242134324
8	0.5145128444
9	0.5083315337
10	0.5032015968
11	0.4991434575
12	0.4882694733
13	0.4773111257
14	0.4717711455
15	0.463154496
16	0.4559848085
17	0.4535359921
18	0.4453481808
19	0.4387777365
20	0.4343162672
21	0.4309440367
22	0.4225826686
23	0.4179089558
24	0.4151898572
25	0.4124008766
26	0.4073645885
27	0.403354917
28	0.4006248413
29	0.3988543373
30	0.3944635418
31	0.3882777443
32	0.3854389876
33	0.3806442365
34	0.3744980619
35	0.371021146
36	0.368955904
37	0.3638804928
38	0.3592492897
39	0.3537572642
40	0.3507447904
41	0.3484468267
42	0.345882519
43	0.3426558734
44	0.3394451363
45	0.3378310399
46	0.3340436283
47	0.3286071123
48	0.3249326348
49	0.3218033323
50	0.3190075021
51	0.3166038981
52	0.3130113203
53	0.3120528812
54	0.3092045038
55	0.3062248499
56	0.304818042
57	0.3029857156
58	0.3009270727
59	0.298185317
60	0.297591359
61	0.2931520432
62	0.2896989163
63	0.287022197
64	0.2838896205
65	0.2818027279
66	0.2795269301
67	0.2788317396
68	0.2773415022
69	0.2754653983
70	0.2726263033
71	0.2713479437
72	0.2684226713
73	0.2658595216
74	0.2634287565
75	0.26170398
76	0.2586143277
77	0.2556972699
78	0.2534049221
79	0.2510745988
80	0.2483244874
81	0.2473113407
82	0.2461595253
83	0.2447837525
84	0.2438557305
85	0.2415255599
86	0.2398846065
87	0.2365363158
88	0.2351323439
89	0.2319360268
90	0.2294197405
91	0.2264927127
92	0.2248227504
93	0.2212691381
94	0.2190123296
95	0.2182466277
96	0.2162356465
97	0.2157823955
98	0.2148138009
99	0.2146306071
100	0.2116053256
101	0.2114638936
102	0.2113618525
103	0.2089188524
104	0.2063869307
105	0.2038129231
106	0.2023718415
107	0.2004897505
108	0.1974861823
109	0.1954320076
110	0.1953148623
111	0.1923796101
112	0.1908051507
113	0.1883414189
114	0.1869440282
115	0.1860870167
116	0.1844459951
117	0.1834892854
118	0.182580356
119	0.181167164
120	0.181054044
121	0.1795724075
122	0.1790544767
123	0.1777565066
124	0.1753179984
125	0.1742229038
126	0.1738394996
127	0.1721817495
128	0.1713000008
129	0.1701943688
130	0.169258838
131	0.1677303195
132	0.1673771175
133	0.1672560583
134	0.1670052706
135	0.1654742423
136	0.163855249
137	0.1624164454
138	0.1606110622
139	0.1605354989
140	0.1595773953
141	0.1585660662
142	0.1571407534
143	0.1562720661
144	0.1553110671
145	0.1545672715
146	0.1530265895
147	0.1517658256
148	0.1505889487
149	0.14930089
150	0.149218798
151	0.1491466659
152	0.1482883906
153	0.1482369232
154	0.1466214903
155	0.1457724849
156	0.1436051367
157	0.1417287176
158	0.1406421417
159	0.1386092488
160	0.1372910019
161	0.1356383321
162	0.1355738963
163	0.1346905352
164	0.1344804143
165	0.1340623759
166	0.1329993159
167	0.1329626263
168	0.1328221967
169	0.1310820319
170	0.1299517977
171	0.1292254596
172	0.1287680539
173	0.1283514435
174	0.1275569155
175	0.1274656201
176	0.1273043243
177	0.1259982671
178	0.1259493553
179	0.124377241
180	0.123663266
181	0.1231562108
182	0.1218894616
183	0.1218422232
184	0.1212838169
185	0.1206291538
186	0.1204819075
187	0.1200978033
188	0.1194112579
189	0.1186590067
190	0.1176153932
191	0.1174978283
192	0.1171064553
193	0.1157897822
194	0.1157431302
195	0.1148216851
196	0.1147574509
197	0.1147159477
198	0.1140284504
199	0.1136334617
200	0.1126985785
201	0.1116067987
202	0.1115594135
203	0.111160927
204	0.1103257286
205	0.1091317324
206	0.1085063108
207	0.1072022903
208	0.1067112719
209	0.1055803549
210	0.1048150394
211	0.1047693212
212	0.103712278
213	0.1028297002
214	0.1015952136
215	0.1014749081
216	0.1010143592
217	0.1001724429
218	0.09944100905
219	0.09829837809
220	0.09820377556
221	0.09720580201
222	0.09638777224
223	0.09470693823
224	0.09465710795
225	0.09462866533
226	0.09453228134
227	0.09448245119
228	0.09374972214
229	0.09320339814
230	0.09257191885
231	0.09231814844
232	0.09209980195
233	0.09162124477
234	0.09150123253
235	0.09111292086
236	0.09089261867
237	0.08993572295
238	0.08961446318
239	0.08959095123
240	0.08930177534
241	0.08893524147
242	0.0889067973
243	0.08881683637
244	0.08812344536
245	0.08762457926
246	0.08736046105
247	0.08733296752
248	0.08636452546
249	0.08586432766
250	0.08501738841
251	0.08478077524
252	0.08420924654
253	0.08375370154
254	0.08372076802
255	0.08335924861
256	0.08303122088
257	0.08301157329
258	0.08276147087
259	0.08200809457
260	0.08160749019
261	0.08158690812
262	0.08083790739
263	0.08037335531
264	0.08035959957
265	0.07988926396
266	0.07931898011
267	0.07925061564
268	0.07879164509
269	0.07861883615
270	0.07849905905
271	0.07805793234
272	0.07803690314
273	0.07784230664
274	0.07741592146
275	0.07696451603
276	0.07693173184
277	0.07659414664
278	0.0764627736
279	0.07610473609
280	0.07576548073
281	0.07530139619
282	0.07466794773
283	0.07445930443
284	0.07372249566
285	0.07345201237
286	0.0730164191
287	0.07257656624
288	0.0722570748
289	0.07169630013
290	0.07167479856
291	0.07133025689
292	0.07107320712
293	0.07104720588
294	0.07049342961
295	0.06988408965
296	0.0697183302
297	0.06966733902
298	0.06930747487
299	0.06900942154
300	0.06899882134
301	0.06874843099
302	0.06871750912
303	0.06835699464
304	0.0679138174
305	0.06746596306
306	0.06745179813
307	0.06707618969
308	0.06691158339
309	0.06626003607
310	0.06584660923
311	0.06565746359
312	0.06539307042
313	0.06510121685
314	0.0648040102
315	0.06478869557
316	0.06474311749
317	0.06472823054
318	0.06468279664
319	0.06441349785
320	0.0643454906
321	0.064151419
322	0.06398138271
323	0.06368854705
324	0.06357485714
325	0.06326590795
326	0.06269087593
327	0.06252056344
328	0.0621395966
329	0.06192847922
330	0.06173433858
331	0.06170154799
332	0.06136832381
333	0.06115432715
334	0.06091930203
335	0.0604514153
336	0.06041660709
337	0.0602267267
338	0.06019570031
339	0.05997887155
340	0.05994797873
341	0.05958077669
342	0.05899532935
343	0.05862549677
344	0.05824166006
345	0.05821139772
346	0.05800239178
347	0.05750778069
348	0.05749511446
349	0.05694783528
350	0.05687565626
351	0.05600887148
352	0.05599659906
353	0.05537818155
354	0.05510748679
355	0.05483385798
356	0.05467160833
357	0.05444796288
358	0.05439370436
359	0.05437669848
360	0.05415422439
361	0.05414180142
362	0.05391303683
363	0.05388467863
364	0.05385392896
365	0.05364784938
366	0.05348968483
367	0.05346524293
368	0.05327487982
369	0.05322351606
370	0.05286752634
371	0.05246842048
372	0.05226415274
373	0.05201563449
374	0.05199207834
375	0.05187777464
376	0.05173213227
377	0.05170505734
378	0.05155071794
379	0.05139285119
380	0.05115725359
381	0.05084127174
382	0.0505274342
383	0.05037581861
384	0.05002956521
385	0.04999658302
386	0.04973257517
387	0.04952032905
388	0.04934879036
389	0.0490518581
390	0.04845921345
391	0.04808352461
392	0.04806813455
393	0.04802240629
394	0.04784406036
395	0.04781374912
396	0.04780553661
397	0.047687106
398	0.04763468096
399	0.04748420794
400	0.04725478552
401	0.04707835553
402	0.04682404243
403	0.04680229157
404	0.04655531284
405	0.04652361327
406	0.04641411993
407	0.04635381893
408	0.04617793102
409	0.04599332501
410	0.04588166129
411	0.04573238574
412	0.04571270738
413	0.04560655576
414	0.04537210301
415	0.0451797991
416	0.04517322169
417	0.0450269239
418	0.04492445407
419	0.04457159645
420	0.04447153405
421	0.04427506188
422	0.04409408573
423	0.04395963963
424	0.04376441386
425	0.04375115672
426	0.04362091992
427	0.04352662766
428	0.04339702657
429	0.04312975406
430	0.04297428184
431	0.04287150474
432	0.04284376769
433	0.04275810266
434	0.04273743307
435	0.0426575305
436	0.04263796051
437	0.04253867238
438	0.04230931968
439	0.04229875789
440	0.04227626392
441	0.04194642492
442	0.04173739574
443	0.04171528537
444	0.04164725391
445	0.04142684996
446	0.04135923521
447	0.0412620432
448	0.04120780769
449	0.04118886366
450	0.04083031659
451	0.04070328083
452	0.04042458917
453	0.0402490143
454	0.0402315134
455	0.04009279393
456	0.04000759361
457	0.03991695458
458	0.0396970442
459	0.03953244106
460	0.03950564125
461	0.03940499031
462	0.03929975291
463	0.03909496622
464	0.03883909056
465	0.0388236367
466	0.03873824404
467	0.0386404501
468	0.03858504547
469	0.038495259
470	0.03848968844
471	0.03836893453
472	0.03835264978
473	0.03822595044
474	0.03802038353
475	0.03793688089
476	0.03781709703
477	0.03775435282
478	0.03768821333
479	0.0375500357
480	0.0374208156
481	0.03733995493
482	0.03724655836
483	0.03719349828
484	0.03706238106
485	0.03695763471
486	0.03690368554
487	0.03673534664
488	0.03672023272
489	0.03666862189
490	0.0366541878
491	0.03663873416
492	0.03659071477
493	0.03650036722
494	0.03646475324
495	0.03637977457
496	0.03629696106
497	0.03626208315
498	0.03625491772
499	0.03598618628
500	0.03589093256
501	0.03582364459
502	0.03571935411
503	0.03565515612
504	0.03560664623
505	0.03546299932
506	0.03544787904
507	0.03535806846
508	0.03525837324
509	0.03514602658
510	0.03514022885
511	0.03501765179
512	0.03488273735
513	0.03482079876
514	0.03470900212
515	0.03466939542
516	0.03464062507
517	0.0345931943
518	0.03446730336
519	0.03444603019
520	0.0342597029
521	0.03422796192
522	0.03418565303
523	0.03410593317
524	0.03410075574
525	0.0340222642
526	0.03384342843
527	0.03383103888
528	0.03380063096
529	0.03358102502
530	0.03345135188
531	0.03340462628
532	0.0333931885
533	0.03338750575
534	0.03327887818
535	0.03323377487
536	0.0332175441
537	0.0331635813
538	0.03303077594
539	0.03287610431
540	0.03255582448
541	0.03250478047
542	0.03236210816
543	0.03223927563
544	0.03220688378
545	0.03216342294
546	0.03209183258
547	0.03208510643
548	0.03200446775
549	0.0319487405
550	0.03184574985
551	0.03183942014
552	0.03175607804
553	0.03169122972
554	0.03168003915
555	0.03161636129
556	0.03157023622
557	0.03155569759
558	0.03145797418
559	0.03140281467
560	0.03137311722
561	0.03128111712
562	0.03114660977
563	0.03087695657
564	0.03074409719
565	0.03071277563
566	0.03065677512
567	0.03046931459
568	0.03038248894
569	0.03030726246
570	0.03030219346
571	0.0302330277
572	0.02986655571
573	0.02986161757
574	0.02971458887
575	0.02948768484
576	0.02939070538
577	0.02931466368
578	0.02923355584
579	0.02911255976
580	0.02895435933
581	0.02893979463
582	0.0289343382
583	0.02883454203
584	0.02870814693
585	0.02870745326
586	0.02863359523
587	0.02860433076
588	0.02851629409
589	0.02851153745
590	0.02849839345
591	0.02840421523
592	0.02839527849
593	0.02836152035
594	0.0282647836
595	0.02811500449
596	0.02811319351
597	0.02810563344
598	0.02804966089
599	0.02788253215
600	0.02783129325
601	0.02779461487
602	0.02779459083
603	0.02775740467
604	0.02764301322
605	0.02757367969
606	0.02756608648
607	0.02745137084
608	0.02744724887
609	0.0273772266
610	0.02737549096
611	0.02729900705
612	0.02712341733
613	0.02705920673
614	0.02701688568
615	0.02700027253
616	0.02698517173
617	0.02698514844
618	0.02696036656
619	0.02694556248
620	0.02689373605
621	0.02684723069
622	0.02684025088
623	0.02664726784
624	0.02664243538
625	0.02662997643
626	0.02658674674
627	0.02652927079
628	0.02652533063
629	0.02652179917
630	0.02636971988
631	0.02636506822
632	0.02633900551
633	0.02633455758
634	0.02628901757
635	0.02621912616
636	0.02615319817
637	0.02606679669
638	0.0260002171
639	0.02593724147
640	0.02589854883
641	0.0258946464
642	0.02589252643
643	0.02588876482
644	0.02583875428
645	0.02580436815
646	0.02572490189
647	0.0257104691
648	0.0257100019
649	0.02568851193
650	0.02563187054
651	0.02562839328
652	0.0255756697
653	0.02557479001
654	0.02551892635
655	0.02551535467
656	0.02546139309
657	0.02542615149
658	0.02542615149
659	0.02540596923
660	0.02537039999
661	0.02532703584
662	0.02531247755
663	0.0252408347
664	0.02507641028
665	0.02504865031
666	0.0250026268
667	0.0250012756
668	0.02494178391
669	0.02484159995
670	0.02480131688
671	0.02479776957
672	0.02479379616
673	0.02476171985
674	0.02472723179
675	0.02466806129
676	0.02466689595
677	0.02461411604
678	0.02458520807
679	0.02449281846
680	0.02448348935
681	0.02447977634
682	0.02447647737
683	0.02445020556
684	0.0243866884
685	0.02433718492
686	0.02420539428
687	0.02411202237
688	0.02408169732
689	0.02393399985
690	0.02389802064
691	0.02384418415
692	0.02379533157
693	0.02363148557
694	0.02362122782
695	0.0235852368
696	0.02353073676
697	0.02346702656
698	0.02346350316
699	0.02345348227
700	0.02341752254
701	0.02341637121
702	0.02340702468
703	0.02337610269
704	0.02337315611
705	0.02333521624
706	0.02332652264
707	0.02329261806
708	0.02328977222
709	0.02323964233
710	0.02321994169
711	0.023218016
712	0.02317531135
713	0.02312387187
714	0.02312329226
715	0.02308198374
716	0.02304670027
717	0.02295814213
718	0.02291659266
719	0.02291653625
720	0.02288097491
721	0.02281938364
722	0.02270802575
723	0.0227080185
724	0.02269956356
725	0.02265423831
726	0.02256211911
727	0.02256077929
728	0.02254729633
729	0.02254476764
730	0.02252650694
731	0.02247454096
732	0.0224738717
733	0.02244473293
734	0.0224060284
735	0.02234037375
736	0.02230893757
737	0.02230661963
738	0.02230225791
739	0.02228230666
740	0.022266992
741	0.02226456626
742	0.02219622908
743	0.02218958592
744	0.02215508984
745	0.02212162049
746	0.02209016403
747	0.02207351277
748	0.02205556954
749	0.02204585956
750	0.02202079389
751	0.02195582087
752	0.02190656521
753	0.02187020069
754	0.02183266905
755	0.02179028065
756	0.02176206269
757	0.02170159044
758	0.02168716058
759	0.02165999569
760	0.02162838515
761	0.02162263021
762	0.02162094051
763	0.02155645891
764	0.02152716513
765	0.02143034639
766	0.02133743916
767	0.02131170517
768	0.02127218858
769	0.02124495365
770	0.021214942
771	0.02121324006
772	0.02118598967
773	0.02114833985
774	0.02112735066
775	0.02112730815
776	0.02107906521
777	0.02107893285
778	0.02107652497
779	0.02107650843
780	0.02107415431
781	0.0209705597
782	0.02097055762
783	0.02094530912
784	0.02094373919
785	0.02084459734
786	0.02080293909
787	0.02080293553
788	0.0207997111
789	0.02079605947
790	0.02077428409
791	0.02077412066
792	0.02073568808
793	0.02073567468
794	0.02073567099
795	0.02073323809
796	0.02073320118
797	0.02073317193
798	0.02073316384
799	0.02073090686
800	0.02071531914
801	0.02069279932
802	0.02065765391
803	0.02060937151
804	0.02058050449
805	0.02049089493
806	0.0204599108
807	0.02043500054
808	0.02043231709
809	0.02041735496
810	0.02039248402
811	0.02037447101
812	0.02033179363
813	0.02033082823
814	0.02031159252
815	0.0202615501
816	0.02023732188
817	0.02020406597
818	0.02016628679
819	0.02013573101
820	0.02012140917
821	0.02009571981
822	0.02007164221
823	0.02007163264
824	0.02005440553
825	0.02003980632
826	0.01999419848
827	0.0199228681
828	0.01982841719
829	0.01979234711
830	0.01977137453
831	0.01972057113
832	0.01969378285
833	0.01969183358
834	0.01964230648
835	0.01957879605
836	0.01955533412
837	0.01952029951
838	0.01948114038
839	0.01948087351
840	0.01946313802
841	0.01944202974
842	0.01942065319
843	0.01938154741
844	0.01936259637
845	0.0193193972
846	0.01931936739
847	0.01929841742
848	0.01927925699
849	0.01925596337
850	0.01923189336
851	0.01923161882
852	0.0192187101
